genus_name,scientific_name,family_name,order_name,class_name,phylum_name,kingdom_name,infra_name,population,category
Hypsirhynchus,Hypsirhynchus ater,DIPSADIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,CR
Alsophis,Alsophis rijgersmaei,DIPSADIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,EN
Alsophis,Alsophis rufiventris,DIPSADIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,VU
Alticola,Alticola albicaudus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Alticola,Alticola argentatus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola barakshin,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola lemminus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola macrotis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola montosa,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,VU
Alticola,Alticola roylei,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Alticola,Alticola semicanus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola stoliczkanus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola strelzowi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alticola,Alticola tuvinicus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alytes,Alytes muletensis,ALYTIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,VU
Alytes,Alytes dickhilleni,ALYTIDAE,ANURA,AMPHIBIA,CHORDATA,ANIMALIA,,,VU
Alzoniella,Alzoniella hartwigschuetti,HYDROBIIDAE,LITTORINIMORPHA,GASTROPODA,MOLLUSCA,ANIMALIA,,,NT
Amanipodagrion,Amanipodagrion gilliesi,MEGAPODAGRIONIDAE,ODONATA,INSECTA,ARTHROPODA,ANIMALIA,,,CR
Amastra,Amastra cylindrica,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Amastra,Amastra micans,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Amastra,Amastra rubens,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Amastra,Amastra spirizona,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Amastra,Amastra albolabris,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EX
Amastra,Amastra cornea,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EX
Amastra,Amastra crassilabrum,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EX
Amastra,Amastra elongata,AMASTRIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EX
